session_id,user_id,channel,device_type,region,traffic_source,category,session_length,total_time_spent,total_interactions,num_events,converted,dropped_off,purchase_value
S0000001,U000372,mobile,desktop,JP,organic,Electronics,4,74,4,4,0,1,0.0
S0000002,U004812,mobile,tablet,UK,direct,Groceries,4,60,4,4,0,1,0.0
S0000003,U001935,web,android,AU,organic,Groceries,6,122,6,6,1,0,261.82
S0000004,U001996,app,desktop,IN,affiliate,Sports,3,60,3,3,0,1,0.0
S0000005,U000024,web,android,CA,affiliate,Accessories,4,65,4,4,0,1,0.0
S0000006,U001428,web,tablet,CA,direct,Home,7,115,7,7,0,1,0.0
S0000007,U005621,mobile,desktop,JP,organic,Beauty,6,143,6,6,1,0,308.64
S0000008,U004142,mobile,desktop,UK,affiliate,Beauty,6,112,6,6,1,0,14.94
S0000009,U005449,mobile,tablet,CA,organic,Apparel,3,50,3,3,0,1,0.0
S0000010,U006100,web,desktop,BR,direct,Sports,6,130,6,6,0,1,0.0
S0000011,U004735,web,tablet,CA,paid_search,Apparel,5,91,5,5,0,1,0.0
S0000012,U005027,app,android,US,organic,Accessories,7,81,7,7,0,1,0.0
S0000013,U001763,mobile,android,JP,paid_search,Accessories,7,132,7,7,0,1,0.0
S0000014,U004974,mobile,ios,DE,affiliate,Home,6,94,6,6,1,0,15.53
S0000015,U004910,web,android,IN,paid_search,Apparel,8,148,8,8,0,1,0.0
S0000016,U003574,mobile,android,UK,direct,Home,9,128,9,9,0,1,0.0
S0000017,U003243,app,ios,AU,social,Accessories,9,119,9,9,1,0,323.0
S0000018,U003801,app,android,JP,affiliate,Beauty,5,68,5,5,1,0,436.37
S0000019,U002543,mobile,desktop,US,social,Electronics,5,98,5,5,0,1,0.0
S0000020,U003685,app,android,IN,direct,Home,7,143,7,7,0,1,0.0
S0000021,U004996,mobile,android,AU,email,Groceries,6,137,6,6,0,1,0.0
S0000022,U005929,app,android,CA,organic,Sports,4,68,4,4,0,1,0.0
S0000023,U005807,mobile,tablet,BR,referral,Sports,4,54,4,4,0,1,0.0
S0000024,U002971,web,android,IN,affiliate,Home,7,127,7,7,0,1,0.0
S0000025,U003087,web,ios,CA,referral,Groceries,5,118,5,5,0,1,0.0
S0000026,U004375,mobile,ios,JP,social,Sports,5,114,5,5,1,0,238.67
S0000027,U006564,web,desktop,DE,referral,Sports,5,67,5,5,0,1,0.0
S0000028,U007417,web,desktop,FR,paid_search,Home,5,80,5,5,0,1,0.0
S0000029,U000231,web,ios,AU,paid_search,Shoes,9,132,9,9,1,0,27.5
S0000030,U000999,web,tablet,FR,organic,Sports,6,132,6,6,0,1,0.0
S0000031,U002891,app,ios,FR,referral,Apparel,6,139,6,6,0,1,0.0
S0000032,U003059,app,android,US,affiliate,Apparel,3,58,3,3,0,1,0.0
S0000033,U002887,mobile,tablet,CA,referral,Home,6,119,6,6,1,0,165.97
